schema_name,table_name,description,irsa_dbms,irsa_pos,cntr
tmassr,pts_samp_cat,2MASS Sampler Point Source Catalog (PSC),ORACLE,y,316
tmassr,scan_dat,2MASS First Incremental Release Survey Scan Info,ORACLE,y,317
twomass,coadd_dat,2MASS Survey Atlas Image Info,ORACLE,y,318
twomass,coadd_dat_c,2MASS Calibration Atlas Image Info,ORACLE,y,319
twomass,deepcal_src,2MASS Combined  Calibration Field Source Table,ORACLE,y,320
twomass,ext_src_c,2MASS Calibration Extended Source Working Database,ORACLE,y,321
twomass,ext_src_rej,2MASS Survey Extended Source Reject Table,ORACLE,y,322
twomass,pscan_dat,2MASS Survey Scan Info,ORACLE,y,323
twomass,pscan_dat_c,2MASS Calibration Scan Info,ORACLE,y,324
twomass,pt_src_c,2MASS Calibration Point Source Working Database,ORACLE,y,325
twomass,pt_src_rej,2MASS Survey Point Source Reject Table,ORACLE,y,326
usno,ucac3_sources,USNO CCD Astrograph Catalog (UCAC3),ORACLE,y,327
usno,ucac4_sources,USNO CCD Astrograph Catalog (UCAC4),ORACLE,y,328
usno,usno_b1,USNO-B1 (United States Naval Observatory B1.0 Catalog),ORACLE,y,329
wax,cf_info,2MASS Calibration Merged Point Source Information Table,ORACLE,y,330
wax,cf_link,2MASS Calibration Merged Point Source Link Table,ORACLE,n,331
wax,ecf_info,2MASS Calibration Merged Extended Source Information Table,ORACLE,y,332
wax,ecf_link,2MASS Calibration Merged Extended Source Link Table,ORACLE,n,333
wax,escf_info,2MASS LMC/SMC Calibration Merged Extended Source Information Table,ORACLE,y,334
wax,escf_link,2MASS LMC/SMC Calibration Merged Extended Source Link Table,ORACLE,n,335
wax,esixxf_info,2MASS 6X w/LMC/SMC Merged Extended Source Information Table,ORACLE,y,336
wax,esixxf_link,2MASS 6X w/LMC/SMC Merged Extended Source Link Table,ORACLE,n,337
wax,ewsdbf_info,2MASS Survey Merged Extended Source Information Table,ORACLE,y,338
wax,ewsdbf_link,2MASS Survey Merged Extended Source Link Table,ORACLE,n,339
wax,scf_info,2MASS LMC/SMC Calibration Merged Point Source Information Table,ORACLE,y,340
wax,scf_link,2MASS LMC/SMC Calibration Merged Point Source Link Table,ORACLE,n,341
wax,sixxf_info,2MASS 6X w/LMC/SMC Merged Point Source Information Table,ORACLE,y,342
wax,sixxf_link,2MASS 6X w/LMC/SMC Merged Point Source Link Table,ORACLE,n,343
wax,wsdb_info,2MASS Survey Merged Point Source Information Table,ORACLE,y,344
wax,wsdb_link,2MASS Survey Merged Point Source Link Table,ORACLE,n,345
